"","ID_number","weight"
"1",2329,1
"2",2542,0.349027007412854
"3",2820,0.229089416963674
"4",730,0.170499850089558
"5",194,1
"6",1812,0.349027007412854
"7",2006,0.349027007412854
"8",71,1
"9",620,1
"10",2407,1
"11",3168,0.732542882570718
"12",750,1
"13",1209,0.536162039573599
"14",1185,1
"15",1465,0.18638954481409
"16",1004,0.258724996234296
"17",3634,1
"18",2220,0.732542882570718
"19",3528,0.140546008388419
"20",3590,1
"21",2280,0.732542882570718
"22",1540,1
"23",3275,0.061105616440621
"24",3679,1
"25",2649,1
"26",787,0.258724996234296
"27",1064,0.229089416963674
"28",2003,0.492180612714959
"29",2321,0.619153719890057
"30",1998,1
"31",2201,1
"32",1286,1
"33",2285,0.135775337942082
"34",3795,0.566537637072393
"35",2532,1
"36",1474,1
"37",341,1
"38",1992,0.969204061598177
"39",2523,0.135775337942082
"40",1902,0.42281370922478
"41",1599,1
"42",588,0.175486589626911
"43",924,1
"44",3379,0.106779336850001
"45",3658,1
"46",811,1
"47",2599,0.0721234926337036
"48",1157,1
"49",3483,1
"50",1293,1
"51",2501,1
"52",2270,1
"53",436,0.42281370922478
"54",1949,1
"55",1000,1
"56",1541,1
"57",1974,0.18638954481409
"58",1394,1
"59",3758,0.106779336850001
"60",137,1
"61",2578,0.536162039573599
"62",763,1
"63",3437,0.106779336850001
"64",2202,1
"65",2485,0.145664136630613
"66",253,1
"67",1393,0.858289682137453
"68",3385,0.0721234926337036
"69",1946,1
"70",1645,1
"71",2793,1
"72",2896,1
"73",3371,1
"74",2794,0.42281370922478
"75",1609,0.175486589626911
"76",546,0.061105616440621
"77",2562,1
"78",3151,1
"79",3004,1
"80",1285,1
"81",697,1
"82",793,1
"83",67,1
"84",1644,1
"85",2898,1
"86",3376,0.103109354034393
"87",1602,1
"88",2566,0.297167300598439
"89",966,1
"90",803,0.18638954481409
"91",786,1
"92",2913,0.175486589626911
"93",3017,1
"94",495,1
"95",2914,1
"96",1214,0.135775337942082
"97",2893,0.0721234926337036
"98",3771,1
"99",1583,1
"100",2813,1
"101",3086,0.229089416963674
"102",2872,0.061105616440621
"103",3781,0.229089416963674
"104",1191,1
"105",3050,1
"106",2883,1
"107",1641,0.18638954481409
"108",633,0.229089416963674
"109",1322,1
"110",2159,0.858289682137453
"111",1186,1
"112",1067,1
"113",2379,0.42281370922478
"114",1663,0.229089416963674
"115",2856,0.18638954481409
"116",2346,1
"117",1685,1
"118",1003,1
"119",2704,1
"120",3265,0.0721234926337036
"121",3714,0.103109354034393
"122",1255,0.536162039573599
"123",3016,0.732542882570718
"124",1846,1
"125",1598,1
"126",108,1
"127",340,1
"128",2284,1
"129",1005,0.574677041400259
"130",368,1
"131",2636,1
"132",808,1
"133",3686,0.370584330738124
"134",2574,0.42281370922478
"135",1570,0.652837623478463
"136",3377,0.103109354034393
"137",3535,1
"138",2548,1
"139",4000,1
"140",4006,0.106779336850001
"141",4024,1
"142",4004,0.127143839082726
"143",4003,0.106779336850001
"144",4002,0.106779336850001
"145",4008,0.061105616440621
"146",4007,0.229089416963674
"147",4019,1
